age,weight,height,gender,activity,goal,bmr,tdee,calories,protein_g,carbs_g,fat_g,fitness_level
41,89,177,1,1.55,maintain,1896.86,2940.133,2940.133,142.4,330.76496249999997,81.6703611111111,Advanced
29,70,175,1,1.375,muscle_gain,1701.06,2338.9575,2638.9575,140.0,296.88271875,73.304375,Intermediate
47,91,151,1,1.2,maintain,1764.6599999999999,2117.5919999999996,2117.5919999999996,145.6,238.22909999999996,58.82199999999999,Beginner
23,76,174,1,1.725,fat_loss,1810.8600000000001,3123.7335000000003,2723.7335000000003,121.60000000000001,306.42001875000005,75.6592638888889,Advanced
19,54,152,1,1.375,fat_loss,1433.26,1970.7325,1570.7325,86.4,176.70740625000002,43.631458333333335,Intermediate
49,60,157,1,1.2,fat_loss,1366.66,1639.992,1239.992,96.0,139.4991,34.44422222222222,Beginner
45,51,193,1,1.55,muscle_gain,1441.6599999999999,2234.573,2534.573,102.0,285.1394625,70.40480555555555,Advanced
38,61,182,0,1.55,muscle_gain,1409.6,2184.88,2484.88,122.0,279.54900000000004,69.02444444444444,Advanced
18,67,191,0,1.55,fat_loss,1578.6999999999998,2446.9849999999997,2046.9849999999997,107.2,230.28581249999996,56.860694444444434,Advanced
29,70,184,1,1.2,maintain,1744.26,2093.112,2093.112,112.0,235.47510000000003,58.142,Beginner
43,65,155,0,1.725,maintain,1341.1999999999998,2313.5699999999997,2313.5699999999997,104.0,260.27662499999997,64.26583333333332,Advanced
39,66,188,0,1.375,fat_loss,1469.8999999999999,2021.1124999999997,1621.1124999999997,105.60000000000001,182.37515624999997,45.03090277777777,Intermediate
46,102,172,1,1.55,maintain,2018.5599999999997,3128.7679999999996,3128.7679999999996,163.20000000000002,351.98639999999995,86.91022222222222,Advanced
29,51,174,0,1.2,fat_loss,1331.4999999999998,1597.7999999999997,1197.7999999999997,81.60000000000001,134.75249999999997,33.27222222222221,Beginner
42,58,192,1,1.2,maintain,1547.7599999999998,1857.3119999999997,1857.3119999999997,92.80000000000001,208.94759999999997,51.59199999999999,Beginner
34,59,168,1,1.375,fat_loss,1491.5600000000002,2050.8950000000004,1650.8950000000004,94.4,185.72568750000005,45.85819444444446,Intermediate
44,97,154,1,1.55,maintain,1876.5599999999997,2908.6679999999997,2908.6679999999997,155.20000000000002,327.22515,80.79633333333332,Advanced
44,51,160,1,1.2,muscle_gain,1288.96,1546.752,1846.752,102.0,207.7596,51.29866666666666,Beginner
48,53,161,1,1.375,fat_loss,1297.7600000000002,1784.4200000000003,1384.4200000000003,84.80000000000001,155.74725000000004,38.45611111111112,Intermediate
27,95,159,0,1.725,fat_loss,1698.4,2929.7400000000002,2529.7400000000002,152.0,284.59575,70.27055555555556,Advanced
49,92,157,1,1.725,maintain,1795.4599999999998,3097.1684999999998,3097.1684999999998,147.20000000000002,348.43145625,86.03245833333332,Advanced
45,52,173,0,1.725,fat_loss,1268.8000000000002,2188.6800000000003,1788.6800000000003,83.2,201.22650000000004,49.68555555555557,Advanced
45,94,177,1,1.55,fat_loss,1941.06,3008.643,2608.643,150.4,293.47233750000004,72.46230555555556,Advanced
33,103,190,1,1.375,fat_loss,2192.46,3014.6325,2614.6325,164.8,294.14615625000005,72.62868055555556,Intermediate
32,67,185,1,1.375,muscle_gain,1691.76,2326.17,2626.17,134.0,295.44412500000004,72.94916666666667,Intermediate
47,73,186,0,1.2,muscle_gain,1493.6999999999998,1792.4399999999998,2092.4399999999996,146.0,235.39949999999996,58.12333333333332,Beginner
47,62,170,1,1.2,maintain,1467.26,1760.712,1760.712,99.2,198.08010000000002,48.90866666666667,Beginner
32,75,157,1,1.2,muscle_gain,1664.56,1997.4719999999998,2297.4719999999998,150.0,258.4656,63.81866666666666,Beginner
47,74,158,1,1.375,maintain,1570.46,2159.3825,2159.3825,118.4,242.93053125000003,59.982847222222226,Intermediate
36,96,164,1,1.2,muscle_gain,1956.76,2348.112,2648.112,192.0,297.9126,73.55866666666667,Beginner
29,83,189,0,1.375,maintain,1672.3999999999999,2299.5499999999997,2299.5499999999997,132.8,258.699375,63.87638888888888,Intermediate
40,79,167,1,1.375,muscle_gain,1720.56,2365.77,2665.77,158.0,299.899125,74.04916666666666,Intermediate
37,62,191,0,1.725,muscle_gain,1451.0,2502.975,2802.975,124.0,315.3346875,77.86041666666667,Advanced
49,103,169,1,1.2,maintain,2000.4599999999998,2400.5519999999997,2400.5519999999997,164.8,270.0621,66.68199999999999,Beginner
42,86,155,0,1.725,fat_loss,1538.7,2654.2575,2254.2575,137.6,253.60396875000004,62.61826388888889,Advanced
20,83,161,0,1.55,fat_loss,1624.2999999999997,2517.6649999999995,2117.6649999999995,132.8,238.23731249999994,58.824027777777765,Advanced
22,61,151,1,1.55,muscle_gain,1505.1599999999999,2332.998,2632.998,122.0,296.21227500000003,73.13883333333334,Advanced
36,58,156,1,1.55,maintain,1409.16,2184.1980000000003,2184.1980000000003,92.80000000000001,245.72227500000005,60.672166666666676,Advanced
24,75,165,0,1.375,fat_loss,1545.8999999999999,2125.6124999999997,1725.6124999999997,120.0,194.13140624999997,47.93368055555555,Intermediate
38,68,152,1,1.375,maintain,1512.5600000000002,2079.7700000000004,2079.7700000000004,108.80000000000001,233.97412500000004,57.7713888888889,Intermediate
26,79,194,1,1.375,fat_loss,1929.9599999999998,2653.6949999999997,2253.6949999999997,126.4,253.54068749999996,62.60263888888888,Intermediate
24,88,152,1,1.2,maintain,1860.36,2232.432,2232.432,140.8,251.1486,62.01199999999999,Beginner
35,104,176,0,1.725,muscle_gain,1799.5,3104.1375000000003,3404.1375000000003,208.0,382.96546875,94.559375,Advanced
21,89,192,1,1.375,maintain,2082.86,2863.9325000000003,2863.9325000000003,142.4,322.19240625000003,79.55368055555556,Intermediate
42,78,189,1,1.725,fat_loss,1801.3599999999997,3107.3459999999995,2707.3459999999995,124.80000000000001,304.576425,75.20405555555554,Advanced
45,47,187,1,1.725,muscle_gain,1359.2600000000002,2344.7235000000005,2644.7235000000005,94.0,297.53139375000006,73.46454166666668,Advanced
31,81,182,0,1.725,maintain,1623.7,2800.8825,2800.8825,129.6,315.09928125000005,77.80229166666668,Advanced
35,87,177,1,1.2,fat_loss,1904.2599999999998,2285.1119999999996,1885.1119999999996,139.20000000000002,212.07509999999996,52.36422222222221,Beginner
43,84,150,0,1.2,muscle_gain,1500.5,1800.6,2100.6,168.0,236.3175,58.349999999999994,Beginner
26,70,157,1,1.55,maintain,1631.76,2529.228,2529.228,112.0,284.53815000000003,70.25633333333333,Advanced
43,99,186,0,1.55,fat_loss,1750.1,2712.6549999999997,2312.6549999999997,158.4,260.17368749999997,64.24041666666666,Advanced
38,67,181,1,1.725,maintain,1638.3600000000001,2826.1710000000003,2826.1710000000003,107.2,317.94423750000004,78.50475,Advanced
19,88,192,1,1.55,maintain,2080.8599999999997,3225.3329999999996,3225.3329999999996,140.8,362.84996249999995,89.59258333333332,Advanced
37,83,186,0,1.725,muscle_gain,1628.6999999999998,2809.5074999999997,3109.5074999999997,166.0,349.81959374999997,86.37520833333332,Advanced
45,59,153,0,1.2,muscle_gain,1271.2,1525.44,1825.44,118.0,205.36200000000002,50.70666666666667,Beginner
32,100,179,0,1.2,fat_loss,1784.9,2141.88,1741.88,160.0,195.96150000000003,48.385555555555555,Beginner
45,93,155,1,1.2,muscle_gain,1822.06,2186.4719999999998,2486.4719999999998,186.0,279.7281,69.06866666666666,Beginner
24,48,168,1,1.375,fat_loss,1401.16,1926.595,1526.595,76.80000000000001,171.7419375,42.40541666666667,Intermediate
29,73,181,1,1.725,maintain,1770.06,3053.3535,3053.3535,116.80000000000001,343.50226875000004,84.815375,Advanced
46,66,158,1,1.2,maintain,1468.9599999999998,1762.7519999999997,1762.7519999999997,105.60000000000001,198.30959999999996,48.96533333333333,Beginner
25,69,161,0,1.725,fat_loss,1474.0,2542.65,2142.65,110.4,241.04812500000003,59.518055555555556,Advanced
32,57,160,1,1.55,maintain,1437.76,2228.5280000000002,2228.5280000000002,91.2,250.70940000000004,61.90355555555556,Advanced
20,62,165,1,1.55,muscle_gain,1597.16,2475.5980000000004,2775.5980000000004,124.0,312.25477500000005,77.09994444444446,Advanced
31,77,150,1,1.2,maintain,1663.4599999999998,1996.1519999999996,1996.1519999999996,123.2,224.56709999999995,55.448666666666654,Beginner
34,60,194,1,1.725,muscle_gain,1629.76,2811.3360000000002,3111.3360000000002,120.0,350.0253,86.426,Advanced
21,89,170,1,1.2,fat_loss,1977.26,2372.712,1972.712,142.4,221.9301,54.797555555555554,Beginner
35,86,179,1,1.55,fat_loss,1900.46,2945.713,2545.713,137.6,286.3927125,70.71425,Advanced
25,88,162,1,1.2,maintain,1902.6599999999999,2283.1919999999996,2283.1919999999996,140.8,256.85909999999996,63.42199999999999,Beginner
21,46,183,0,1.725,maintain,1347.8,2324.955,2324.955,73.60000000000001,261.5574375,64.58208333333333,Advanced
19,99,153,1,1.55,muscle_gain,2041.0600000000002,3163.6430000000005,3463.6430000000005,198.0,389.65983750000004,96.21230555555557,Advanced
47,79,177,1,1.375,muscle_gain,1728.6599999999999,2376.9075,2676.9075,158.0,301.15209375,74.35854166666667,Intermediate
23,86,187,1,1.55,maintain,2007.2600000000002,3111.2530000000006,3111.2530000000006,137.6,350.01596250000006,86.42369444444446,Advanced
39,78,180,1,1.375,maintain,1775.26,2440.9825,2440.9825,124.80000000000001,274.61053125,67.80506944444444,Intermediate
27,74,176,0,1.2,fat_loss,1557.9,1869.48,1469.48,118.4,165.31650000000002,40.81888888888889,Beginner
21,103,154,0,1.2,fat_loss,1782.3,2138.7599999999998,1738.7599999999998,164.8,195.61049999999997,48.29888888888888,Beginner
39,99,174,0,1.725,fat_loss,1730.1000000000001,2984.4225000000006,2584.4225000000006,158.4,290.74753125000007,71.7895138888889,Advanced
46,57,152,0,1.375,maintain,1245.4,1712.4250000000002,1712.4250000000002,91.2,192.64781250000001,47.56736111111112,Intermediate
48,57,182,0,1.2,maintain,1329.8000000000002,1595.7600000000002,1595.7600000000002,91.2,179.52300000000002,44.326666666666675,Beginner
35,62,153,0,1.375,maintain,1341.8,1844.975,1844.975,99.2,207.5596875,51.24930555555555,Intermediate
43,76,174,1,1.2,fat_loss,1696.8600000000001,2036.232,1636.232,121.60000000000001,184.0761,45.45088888888889,Beginner
29,76,169,0,1.55,maintain,1545.9999999999998,2396.2999999999997,2396.2999999999997,121.60000000000001,269.58374999999995,66.56388888888888,Advanced
19,79,183,0,1.2,muscle_gain,1660.0000000000002,1992.0000000000002,2292.0,158.0,257.85,63.666666666666664,Beginner
27,103,175,1,1.725,maintain,2154.66,3716.7885,3716.7885,164.8,418.13870625000004,103.244125,Advanced
47,83,154,0,1.55,maintain,1486.5,2304.0750000000003,2304.0750000000003,132.8,259.20843750000006,64.00208333333335,Advanced
21,90,184,1,1.725,maintain,2057.86,3549.8085000000005,3549.8085000000005,144.0,399.3534562500001,98.60579166666668,Advanced
31,96,177,1,1.55,maintain,2047.66,3173.873,3173.873,153.60000000000002,357.0607125,88.1631388888889,Advanced
48,73,178,0,1.375,maintain,1464.6,2013.8249999999998,2013.8249999999998,116.80000000000001,226.55531249999999,55.93958333333333,Intermediate
33,93,158,1,1.725,muscle_gain,1904.8600000000001,3285.8835000000004,3585.8835000000004,186.0,403.41189375000005,99.607875,Advanced
32,73,187,0,1.2,muscle_gain,1561.3,1873.56,2173.56,146.0,244.5255,60.376666666666665,Beginner
25,97,155,0,1.375,maintain,1713.0,2355.375,2355.375,155.20000000000002,264.9796875,65.42708333333333,Intermediate
31,88,168,1,1.2,fat_loss,1897.26,2276.712,1876.712,140.8,211.1301,52.13088888888889,Beginner
40,101,193,1,1.55,maintain,2140.16,3317.248,3317.248,161.60000000000002,373.1904,92.14577777777778,Advanced
45,60,160,0,1.55,maintain,1302.1,2018.2549999999999,2018.2549999999999,96.0,227.0536875,56.062638888888884,Advanced
42,100,151,1,1.2,maintain,1913.7599999999998,2296.5119999999997,2296.5119999999997,160.0,258.3576,63.791999999999994,Beginner
47,88,193,1,1.2,fat_loss,1926.06,2311.272,1911.272,140.8,215.0181,53.090888888888884,Beginner
25,91,193,0,1.375,fat_loss,1775.6,2441.45,2041.4499999999998,145.6,229.66312499999998,56.70694444444444,Intermediate
38,101,158,0,1.2,fat_loss,1703.1999999999998,2043.8399999999997,1643.8399999999997,161.60000000000002,184.93199999999996,45.66222222222221,Beginner
33,54,170,1,1.725,muscle_gain,1439.8600000000001,2483.7585000000004,2783.7585000000004,108.0,313.17283125000006,77.326625,Advanced
30,74,173,0,1.725,fat_loss,1535.7000000000003,2649.0825000000004,2249.0825000000004,118.4,253.02178125000006,62.4745138888889,Advanced
35,69,183,0,1.2,muscle_gain,1499.2000000000003,1799.0400000000002,2099.04,138.0,236.142,58.306666666666665,Beginner
32,83,171,0,1.725,muscle_gain,1603.6999999999998,2766.3824999999997,3066.3824999999997,166.0,344.96803124999997,85.17729166666666,Advanced
38,64,152,0,1.2,fat_loss,1344.2,1613.04,1213.04,102.4,136.467,33.69555555555556,Beginner
41,49,161,0,1.375,fat_loss,1221.2,1679.15,1279.15,78.4,143.90437500000002,35.53194444444445,Intermediate
43,45,177,0,1.725,fat_loss,1225.3999999999999,2113.815,1713.815,72.0,192.8041875,47.60597222222222,Advanced
42,74,179,0,1.725,muscle_gain,1502.7000000000003,2592.1575000000007,2892.1575000000007,148.0,325.3677187500001,80.33770833333335,Advanced
45,93,175,1,1.2,maintain,1918.06,2301.672,2301.672,148.8,258.9381,63.93533333333333,Beginner
45,47,170,0,1.725,fat_loss,1213.5,2093.2875,1693.2875,75.2,190.49484375,47.03576388888889,Advanced
45,89,177,1,1.55,fat_loss,1874.06,2904.793,2504.793,142.4,281.7892125,69.57758333333334,Advanced
30,58,175,1,1.375,fat_loss,1534.56,2110.02,1710.02,92.80000000000001,192.37725,47.50055555555556,Intermediate
26,100,182,1,1.375,muscle_gain,2153.76,2961.42,3261.42,200.0,366.90975000000003,90.595,Intermediate
46,74,170,0,1.725,muscle_gain,1457.6000000000001,2514.3600000000006,2814.3600000000006,148.0,316.61550000000005,78.17666666666668,Advanced
32,94,184,0,1.725,maintain,1745.2000000000003,3010.4700000000007,3010.4700000000007,150.4,338.6778750000001,83.62416666666668,Advanced
30,48,183,1,1.55,fat_loss,1438.96,2230.388,1830.388,76.80000000000001,205.91864999999999,50.84411111111111,Advanced
18,62,190,0,1.55,muscle_gain,1529.6,2370.88,2670.88,124.0,300.47400000000005,74.19111111111111,Advanced
42,81,167,1,1.725,maintain,1735.96,2994.5310000000004,2994.5310000000004,129.6,336.8847375,83.18141666666668,Advanced
24,69,160,0,1.725,fat_loss,1475.2,2544.7200000000003,2144.7200000000003,110.4,241.28100000000003,59.57555555555556,Advanced
26,92,172,0,1.55,muscle_gain,1715.4,2658.8700000000003,2958.8700000000003,184.0,332.872875,82.19083333333334,Advanced
41,45,171,1,1.2,fat_loss,1278.4599999999998,1534.1519999999998,1134.1519999999998,72.0,127.59209999999999,31.504222222222218,Beginner
18,97,166,1,1.55,fat_loss,2082.36,3227.6580000000004,2827.6580000000004,155.20000000000002,318.11152500000003,78.54605555555557,Advanced
29,90,154,1,1.2,muscle_gain,1868.26,2241.912,2541.912,180.0,285.9651,70.60866666666666,Beginner
25,59,193,0,1.375,muscle_gain,1481.2,2036.65,2336.65,118.0,262.873125,64.90694444444445,Intermediate
41,53,160,1,1.375,muscle_gain,1332.86,1832.6825,2132.6825,106.0,239.92678125,59.24118055555555,Intermediate
48,59,179,0,1.55,fat_loss,1338.9,2075.295,1675.295,94.4,188.47068750000003,46.53597222222223,Advanced
28,93,164,0,1.2,fat_loss,1691.1999999999998,2029.4399999999996,1629.4399999999996,148.8,183.31199999999995,45.26222222222221,Beginner
36,101,176,0,1.55,maintain,1767.6000000000001,2739.78,2739.78,161.60000000000002,308.22525,76.105,Advanced
34,68,184,1,1.55,fat_loss,1688.96,2617.888,2217.888,108.80000000000001,249.51239999999999,61.608,Advanced
25,48,182,1,1.2,muscle_gain,1462.66,1755.192,2055.192,96.0,231.2091,57.08866666666667,Beginner
20,56,169,1,1.55,fat_loss,1535.96,2380.7380000000003,1980.7380000000003,89.60000000000001,222.83302500000005,55.020500000000006,Advanced
20,103,165,0,1.375,maintain,1820.6999999999998,2503.4624999999996,2503.4624999999996,164.8,281.63953124999995,69.54062499999999,Intermediate
18,102,183,0,1.725,maintain,1875.9,3235.9275000000002,3235.9275000000002,163.20000000000002,364.04184375000006,89.886875,Advanced
44,81,151,1,1.725,muscle_gain,1647.76,2842.386,3142.386,162.0,353.518425,87.2885,Advanced
22,81,184,0,1.55,muscle_gain,1668.6,2586.33,2886.33,162.0,324.712125,80.17583333333333,Advanced
27,87,189,0,1.2,maintain,1717.8000000000002,2061.36,2061.36,139.20000000000002,231.90300000000002,57.260000000000005,Beginner
24,104,177,1,1.2,maintain,2194.7599999999998,2633.7119999999995,2633.7119999999995,166.4,296.29259999999994,73.15866666666665,Beginner
43,50,188,1,1.375,maintain,1415.66,1946.5325,1946.5325,80.0,218.98490625,54.070347222222225,Intermediate
26,83,155,1,1.2,muscle_gain,1796.36,2155.6319999999996,2455.6319999999996,166.0,276.25859999999994,68.21199999999999,Beginner
45,100,158,0,1.2,maintain,1663.8999999999999,1996.6799999999998,1996.6799999999998,160.0,224.6265,55.46333333333333,Beginner
24,90,169,0,1.375,maintain,1696.3,2332.4125,2332.4125,144.0,262.39640625,64.78923611111111,Intermediate
26,68,150,0,1.55,muscle_gain,1426.3999999999999,2210.92,2510.92,136.0,282.4785,69.74777777777778,Advanced
25,55,157,0,1.725,fat_loss,1332.8,2299.08,1899.08,88.0,213.6465,52.75222222222222,Advanced
29,57,172,0,1.375,fat_loss,1380.5,1898.1875,1498.1875,91.2,168.54609375,41.61631944444444,Intermediate
19,78,152,1,1.55,maintain,1754.86,2720.033,2720.033,124.80000000000001,306.0037125,75.55647222222223,Advanced
18,69,153,0,1.375,fat_loss,1479.3,2034.0375,1634.0375,110.4,183.82921875,45.38993055555555,Intermediate
33,51,174,0,1.55,fat_loss,1314.2999999999997,2037.1649999999997,1637.1649999999997,81.60000000000001,184.18106249999997,45.47680555555555,Advanced
40,96,187,0,1.375,fat_loss,1738.5,2390.4375,1990.4375,153.60000000000002,223.92421875,55.28993055555556,Intermediate
40,48,164,1,1.55,fat_loss,1290.76,2000.678,1600.678,76.80000000000001,180.076275,44.46327777777778,Advanced
47,103,170,1,1.375,maintain,2016.6599999999999,2772.9075,2772.9075,164.8,311.95209374999996,77.02520833333332,Intermediate
41,52,184,1,1.55,fat_loss,1434.66,2223.7230000000004,1823.7230000000004,83.2,205.16883750000005,50.65897222222223,Advanced
22,64,163,0,1.375,fat_loss,1447.1000000000001,1989.7625000000003,1589.7625000000003,102.4,178.84828125000004,44.16006944444445,Intermediate
20,73,185,1,1.725,muscle_gain,1840.56,3174.966,3474.966,146.0,390.933675,96.52683333333333,Advanced
29,98,161,1,1.725,maintain,2009.0599999999997,3465.6285,3465.6285,156.8,389.88320625,96.26745833333332,Advanced
25,97,166,1,1.2,muscle_gain,2042.46,2450.9519999999998,2750.9519999999998,194.0,309.4821,76.41533333333332,Beginner
39,95,188,0,1.55,muscle_gain,1736.7,2691.885,2991.885,190.0,336.58706250000006,83.10791666666667,Advanced
44,89,158,1,1.375,maintain,1788.5600000000002,2459.2700000000004,2459.2700000000004,142.4,276.66787500000004,68.31305555555556,Intermediate
20,90,184,0,1.55,fat_loss,1760.0,2728.0,2328.0,144.0,261.90000000000003,64.66666666666667,Advanced
18,54,162,0,1.725,muscle_gain,1369.1999999999998,2361.87,2661.87,108.0,299.460375,73.94083333333333,Advanced
20,87,164,1,1.55,maintain,1927.3599999999997,2987.4079999999994,2987.4079999999994,139.20000000000002,336.0833999999999,82.98355555555554,Advanced
22,78,167,0,1.375,fat_loss,1588.3,2183.9125,1783.9125,124.80000000000001,200.69015625,49.553124999999994,Intermediate
32,101,182,1,1.55,maintain,2132.96,3306.088,3306.088,161.60000000000002,371.9349,91.83577777777778,Advanced
31,70,155,0,1.375,muscle_gain,1438.8,1978.35,2278.35,140.0,256.314375,63.287499999999994,Intermediate
20,85,176,1,1.725,fat_loss,1958.1599999999999,3377.826,2977.826,136.0,335.005425,82.71738888888889,Advanced
18,93,172,1,1.725,fat_loss,2057.56,3549.291,3149.291,148.8,354.29523750000004,87.48030555555556,Advanced
22,102,176,1,1.725,maintain,2174.56,3751.116,3751.116,163.20000000000002,422.00055000000003,104.19766666666666,Advanced
43,47,183,0,1.2,fat_loss,1262.4,1514.88,1114.88,75.2,125.42400000000002,30.96888888888889,Beginner
40,100,187,1,1.725,muscle_gain,2097.96,3618.981,3918.981,200.0,440.88536250000004,108.86058333333334,Advanced
48,50,163,0,1.55,muscle_gain,1206.5,1870.075,2170.075,100.0,244.13343749999999,60.2798611111111,Advanced
31,49,185,1,1.2,muscle_gain,1456.26,1747.512,2047.512,98.0,230.3451,56.87533333333333,Beginner
24,49,157,0,1.725,maintain,1281.8999999999999,2211.2774999999997,2211.2774999999997,78.4,248.76871874999998,61.42437499999999,Advanced
44,98,184,0,1.55,fat_loss,1730.3999999999999,2682.12,2282.12,156.8,256.7385,63.392222222222216,Advanced
26,91,168,1,1.55,fat_loss,1965.9599999999998,3047.238,2647.238,145.6,297.814275,73.53438888888888,Advanced
32,67,179,1,1.55,fat_loss,1662.96,2577.588,2177.588,107.2,244.97865000000002,60.488555555555564,Advanced
32,93,163,1,1.375,muscle_gain,1934.56,2660.02,2960.02,186.0,333.00225,82.22277777777778,Intermediate
43,53,169,1,1.2,fat_loss,1364.66,1637.592,1237.592,84.80000000000001,139.22910000000002,34.37755555555556,Beginner
27,79,174,1,1.55,muscle_gain,1828.2599999999998,2833.803,3133.803,158.0,352.5528375,87.05008333333333,Advanced
45,64,189,0,1.375,fat_loss,1428.8000000000002,1964.6000000000004,1564.6000000000004,102.4,176.01750000000004,43.46111111111112,Intermediate
30,102,173,1,1.725,muscle_gain,2114.56,3647.616,3947.616,204.0,444.1068,109.656,Advanced
36,93,163,1,1.55,fat_loss,1911.76,2963.228,2563.228,148.8,288.36315,71.20077777777777,Advanced
48,103,175,0,1.375,maintain,1731.2999999999997,2380.5374999999995,2380.5374999999995,164.8,267.8104687499999,66.12604166666665,Intermediate
49,86,187,1,1.55,maintain,1859.0600000000002,2881.5430000000006,2881.5430000000006,137.6,324.17358750000005,80.04286111111112,Advanced
24,79,172,1,1.2,muscle_gain,1835.76,2202.912,2502.912,158.0,281.57759999999996,69.52533333333332,Beginner
34,94,171,0,1.2,muscle_gain,1696.3,2035.56,2335.56,188.0,262.7505,64.87666666666667,Beginner
37,62,168,1,1.725,fat_loss,1514.6599999999999,2612.7884999999997,2212.7884999999997,99.2,248.93870624999997,61.46634722222221,Advanced
46,61,152,1,1.55,fat_loss,1373.16,2128.398,1728.3980000000001,97.60000000000001,194.44477500000002,48.01105555555556,Advanced
49,68,191,1,1.375,maintain,1637.0600000000002,2250.9575000000004,2250.9575000000004,108.80000000000001,253.23271875000006,62.526597222222236,Intermediate
21,47,168,0,1.725,fat_loss,1310.5000000000002,2260.6125000000006,1860.6125000000006,75.2,209.31890625000008,51.683680555555576,Advanced
47,76,158,1,1.55,muscle_gain,1597.2599999999998,2475.7529999999997,2775.7529999999997,152.0,312.27221249999997,77.10425,Advanced
22,79,177,0,1.725,muscle_gain,1628.5000000000002,2809.1625000000004,3109.1625000000004,158.0,349.7807812500001,86.36562500000001,Advanced
40,82,169,1,1.375,muscle_gain,1770.3599999999997,2434.2449999999994,2734.2449999999994,164.0,307.6025624999999,75.95124999999999,Intermediate
24,57,194,0,1.725,muscle_gain,1470.2,2536.0950000000003,2836.0950000000003,114.0,319.06068750000003,78.78041666666667,Advanced
30,100,156,1,1.725,muscle_gain,2006.1599999999999,3460.6259999999997,3760.6259999999997,200.0,423.070425,104.46183333333333,Advanced
32,91,163,0,1.725,maintain,1652.5,2850.5625,2850.5625,145.6,320.68828125,79.18229166666667,Advanced
28,69,158,0,1.55,maintain,1451.8,2250.29,2250.29,110.4,253.157625,62.50805555555556,Advanced
46,53,168,0,1.375,muscle_gain,1258.2,1730.025,2030.025,106.0,228.3778125,56.389583333333334,Intermediate
21,48,163,0,1.2,fat_loss,1304.2,1565.04,1165.04,76.80000000000001,131.067,32.36222222222222,Beginner
30,58,187,0,1.55,muscle_gain,1431.9,2219.445,2519.445,116.0,283.4375625,69.98458333333333,Advanced
49,81,185,0,1.2,maintain,1555.6,1866.7199999999998,1866.7199999999998,129.6,210.00599999999997,51.853333333333325,Beginner
24,78,189,1,1.2,muscle_gain,1903.9599999999998,2284.7519999999995,2584.7519999999995,156.0,290.78459999999995,71.79866666666665,Beginner
44,55,166,1,1.55,maintain,1371.36,2125.6079999999997,2125.6079999999997,88.0,239.13089999999997,59.04466666666666,Advanced
